cpg_id,chrA,startA,RefGene,RefGene_Group,average,median,stdev
cg00275449,3,195162127,ACAP2,Body,0.100,0.097,0.005
cg00287012,18,21593174,TTC39C;TTC39C;TTC39C,5'UTR;TSS1500;TSS1500,0.118,0.102,0.005
cg00288598,8,141555295,EIF2C2;EIF2C2,Body;Body,0.095,0.078,0.009
cg00297966,8,126186709,NSMCE2,Body,0.088,0.097,0.005
cg00315395,11,129145951,,,0.122,0.119,0.005
cg00316151,16,14576504,PARN;PARN,Body;Body,0.095,0.092,0.005
cg00320765,14,69264333,C14orf181,TSS1500,0.099,0.090,0.003
cg00326131,2,74668477,RTKN;RTKN;RTKN,Body;TSS1500;TSS1500,0.111,0.115,0.004
cg00333843,16,79627884,MAF;MAF;MAF,3'UTR;3'UTR;1stExon,0.106,0.098,0.007
cg00335124,5,58652808,PDE4D;PDE4D;PDE4D,Body;Body;Body,0.093,0.089,0.006
cg00340958,20,48328658,B4GALT5,Body,0.128,0.127,0.003
cg00341522,2,237981972,,,0.100,0.038,0.015
cg00349404,10,106100036,,,0.087,0.077,0.003
cg00351750,1,246038775,SMYD3;SMYD3,Body;Body,0.139,0.146,0.003
cg00357213,10,15902731,FAM188A,TSS1500,0.098,0.098,0.004
cg00376553,7,100073281,TSC22D4,Body,0.090,0.096,0.004
cg00391031,10,72237473,KIAA1274,TSS1500,0.092,0.067,0.006
cg00409434,2,46414317,PRKCE,3'UTR,0.092,0.083,0.005
cg00409861,5,143365769,,,0.090,0.081,0.004
cg00415665,8,123875036,ZHX2,5'UTR,0.097,0.085,0.007
cg00421164,6,7111068,RREB1;RREB1;RREB1;RREB1,5'UTR;5'UTR;5'UTR;5'UTR,0.115,0.126,0.004
cg00432328,10,76589109,MYST4,5'UTR,0.099,0.080,0.011
cg00433418,2,170440636,PPIG,TSS1500,0.096,0.096,0.005
cg00435834,19,44809685,ZNF235,TSS1500,0.103,0.104,0.003
cg00443981,17,58499679,C17orf64,TSS200,0.131,0.123,0.009
cg00444740,8,129162178,MIR1208,TSS200,0.122,0.111,0.005
cg00449868,6,149770103,ZC3H12D,3'UTR,0.098,0.092,0.006
cg00451054,8,77913321,PXMP3;PXMP3,TSS1500;TSS1500,0.127,0.129,0.007
cg00463004,6,107938738,SOBP,Body,0.102,0.090,0.005
cg00472277,11,2327755,TSPAN32,Body,0.098,0.105,0.006
cg00476430,8,81947741,PAG1,5'UTR,0.116,0.118,0.003
cg00498360,17,64504304,PRKCA,Body,0.132,0.127,0.004
cg00500359,11,3175625,OSBPL5;OSBPL5;OSBPL5,5'UTR;5'UTR;5'UTR,0.128,0.119,0.008
cg00504569,10,63697267,ARID5B,Body,0.144,0.132,0.009
cg00510149,11,10674966,MRVI1;MRVI1;MRVI1;MRVI1,5'UTR;TSS1500;5'UTR;5'UTR,0.113,0.123,0.006
cg00512872,7,6268584,CYTH3,Body,0.092,0.074,0.005
cg00514723,20,40244770,CHD6,5'UTR,0.086,0.069,0.006
cg00516030,6,132273126,CTGF,TSS1500,0.137,0.121,0.007
cg00524561,12,125197665,,,0.092,0.088,0.004
cg00530805,20,49545062,ADNP;ADNP,5'UTR;5'UTR,0.089,0.068,0.004
cg00533390,1,245028657,HNRNPU;HNRNPU,TSS1500;TSS1500,0.109,0.118,0.003
cg00563107,4,141173528,,,0.137,0.120,0.006
cg00567854,1,203273693,BTG2,TSS1500,0.090,0.077,0.002
cg00576967,1,200640177,DDX59,TSS1500,0.088,0.091,0.005
cg00583046,6,31024990,HCG22,Body,0.094,0.091,0.005
cg00594917,1,203020566,PPFIA4;PPFIA4,5'UTR;1stExon,0.091,0.088,0.007
cg00601432,5,151148420,,,0.090,0.076,0.005
cg00609630,12,123258653,CCDC62;CCDC62;CCDC62,TSS1500;TSS1500;TSS1500,0.136,0.125,0.009
cg00612751,2,153468347,FMNL2,Body,0.090,0.078,0.005
cg00629217,4,54425349,LNX1;LNX1,Body;TSS1500,0.101,0.091,0.004
cg00661523,3,151985426,MBNL1;MBNL1;LOC401093;LOC401093,TSS1500;TSS1500;Body;Body,0.089,0.081,0.004
cg00663719,16,78231199,WWOX;WWOX,Body;Body,0.092,0.062,0.011
cg00668519,3,11597941,VGLL4;ATG7;VGLL4;ATG7;VGLL4;ATG7;VGLL4,3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR,0.092,0.079,0.004
cg00672333,17,36728456,SRCIN1,Body,0.123,0.117,0.006
cg00677272,14,59213434,,,0.110,0.098,0.009
cg00689225,14,35871954,NFKBIA,Body,0.097,0.085,0.007
cg00690082,17,40438511,STAT5A,TSS1500,0.101,0.101,0.003
cg00708789,4,16083440,PROM1;PROM1,5'UTR;5'UTR,0.098,0.086,0.006
cg00709728,3,124778476,,,0.101,0.106,0.003
cg00710736,3,125000990,ZNF148,Body,0.087,0.072,0.007
cg00712146,3,65340538,MAGI1;MAGI1,3'UTR;3'UTR,0.087,0.071,0.004
cg00713294,1,55678649,USP24,Body,0.099,0.106,0.005
cg00718036,4,108745325,SGMS2,TSS1500,0.089,0.065,0.005
cg00729654,20,31123895,,,0.089,0.075,0.003
cg00743788,22,50701157,MAPK12,TSS1500,0.092,0.083,0.003
cg00748072,2,174862824,,,0.150,0.144,0.003
cg00753399,2,74404556,MOBKL1B,Body,0.097,0.108,0.004
cg00754604,2,161230046,RBMS1;RBMS1,Body;Body,0.151,0.160,0.005
cg00759508,15,93442616,CHD2;CHD2,TSS1500;TSS1500,0.101,0.091,0.004
cg00760729,2,161236088,RBMS1;RBMS1,Body;Body,0.106,0.101,0.006
cg00765705,12,124865130,NCOR2;NCOR2,Body;Body,0.095,0.071,0.004
cg00768487,1,26611311,UBXN11;UBXN11;UBXN11,Body;Body;Body,0.095,0.078,0.008
cg00775119,2,153406036,FMNL2,Body,0.099,0.098,0.005
cg00777315,13,95133339,DCT;DCT,TSS1500;TSS1500,0.102,0.090,0.004
cg00785106,16,57227089,RSPRY1,5'UTR,0.091,0.066,0.006
cg00799984,8,134307105,NDRG1;NDRG1,5'UTR;5'UTR,0.089,0.081,0.003
cg00805360,10,135091210,ADAM8;ADAM8;ADAM8,TSS1500;TSS1500;TSS1500,0.087,0.076,0.004
cg00806644,10,126889815,,,0.095,0.085,0.004
cg00813509,12,124941317,NCOR2;NCOR2,Body;Body,0.089,0.075,0.003
cg00817501,4,138440719,PCDH18,3'UTR,0.086,0.093,0.003
cg00826603,1,32231019,BAI2,TSS1500,0.147,0.158,0.004
cg00826638,2,198541655,RFTN2,TSS1500,0.107,0.122,0.006
cg00828439,10,80193635,,,0.121,0.123,0.004
cg00830283,1,145743676,PDZK1,5'UTR,0.118,0.116,0.004
cg00831909,1,13909623,PDPN;PDPN,TSS1500;TSS1500,0.088,0.079,0.003
cg00837831,13,33169818,PDS5B,5'UTR,0.097,0.092,0.006
cg00848461,5,176732093,PRELID1;RAB24;RAB24,Body;TSS1500;TSS1500,0.110,0.107,0.003
cg00848594,10,45495782,C10orf25;ZNF22,3'UTR;TSS1500,0.161,0.170,0.007
cg00857907,2,202896898,,,0.094,0.071,0.009
cg00859129,1,109422184,GPSM2,5'UTR,0.089,0.088,0.005
cg00864666,2,173850250,RAPGEF4;RAPGEF4,Body;Body,0.093,0.096,0.003
cg00864684,10,125825166,,,0.095,0.081,0.003
cg00865054,1,52108201,OSBPL9;OSBPL9;OSBPL9;OSBPL9,Body;5'UTR;Body;Body,0.101,0.099,0.006
cg00869941,3,187929592,LPP;LPP,TSS1500;5'UTR,0.088,0.076,0.003
cg00871207,14,89080250,,,0.127,0.122,0.005
cg00883019,3,56797995,ARHGEF3;ARHGEF3;ARHGEF3,Body;Body;Body,0.090,0.091,0.007
cg00883212,2,173795201,RAPGEF4;RAPGEF4,Body;Body,0.156,0.154,0.008
cg00886598,5,42812844,SEPP1;SEPP1;SEPP1,TSS1500;TSS1500;TSS1500,0.120,0.115,0.004
cg00887112,2,202644572,ALS2;ALS2,5'UTR;5'UTR,0.093,0.082,0.005
cg00894103,15,85359250,ALPK3,TSS1500,0.101,0.085,0.006
cg00899659,10,45495971,C10orf25;ZNF22,Body;TSS1500,0.157,0.160,0.007
cg00902153,3,188506715,LPP;LPP;LPP,Body;Body;Body,0.088,0.078,0.006
cg00904578,17,63009964,GNA13,3'UTR,0.106,0.102,0.006
cg00905042,4,174114298,GALNT7,Body,0.100,0.085,0.007
cg00905312,2,230675880,TRIP12,Body,0.110,0.103,0.005
cg00908927,11,79152969,ODZ4,TSS1500,0.128,0.122,0.005
cg00920254,6,44189984,SLC29A1;SLC29A1;SLC29A1;SLC29A1;SLC29A1,5'UTR;TSS1500;TSS1500;5'UTR;TSS1500,0.118,0.097,0.005
cg00922825,10,98946790,SLIT1,TSS1500,0.090,0.013,0.055
cg00923634,1,25968448,MAN1C1,Body,0.089,0.078,0.004
cg00924265,8,28258117,,,0.087,0.096,0.003
cg00924622,1,16819693,CROCCL2,TSS1500,0.106,0.105,0.004
cg00925087,2,48962273,LHCGR,Body,0.099,0.081,0.007
cg00934037,1,100889672,CDC14A;CDC14A;CDC14A,Body;Body;Body,0.109,0.101,0.003
cg00937817,6,157725025,C6orf35,Body,0.101,0.083,0.008
cg00939727,2,134935506,,,0.110,0.117,0.005
cg00943851,6,4317568,,,0.114,0.119,0.006
cg00955413,5,114935797,TMED7-TICAM2;TICAM2;TMED7-TICAM2,Body;5'UTR;Body,0.135,0.138,0.004
cg00959259,3,122281975,PARP9;PARP9;DTX3L;PARP9;PARP9;PARP9;PARP9,5'UTR;5'UTR;TSS1500;5'UTR;5'UTR;5'UTR;5'UTR,0.093,0.077,0.007
cg00962755,1,201439001,PHLDA3,TSS1500,0.122,0.117,0.007
cg00972761,1,216348212,USH2A;USH2A,Body;3'UTR,0.086,0.082,0.005
cg00975624,3,159646501,,,0.092,0.092,0.004
cg00976797,16,1562314,IFT140,Body,0.088,0.079,0.007
cg00978415,1,151345771,SELENBP1,TSS1500,0.091,0.029,0.015
cg00993830,7,129499233,UBE2H;UBE2H,Body;Body,0.093,0.063,0.006
cg01012242,7,140043078,SLC37A3;SLC37A3,Body;Body,0.106,0.122,0.003
cg01021682,3,101926162,,,0.091,0.083,0.007
cg01024458,1,8703816,RERE;RERE,Body;Body,0.097,0.088,0.004
cg01033360,19,3381432,NFIC;NFIC,Body;Body,0.088,0.065,0.006
cg01051524,2,106415145,NCK2;NCK2,5'UTR;5'UTR,0.124,0.121,0.004
cg01057573,5,118683890,TNFAIP8,Body,0.093,0.086,0.005
cg01083148,7,105705154,,,0.114,0.104,0.003
cg01087463,3,15676638,BTD,Body,0.115,0.112,0.007
cg01093786,11,96047698,MAML2,Body,0.089,0.072,0.005
cg01100951,4,15453598,,,0.091,0.075,0.003
cg01109763,4,3387281,RGS12;RGS12;RGS12,Body;Body;Body,0.098,0.098,0.004
cg01117269,10,416315,DIP2C,Body,0.087,0.059,0.008
cg01120308,11,85780971,PICALM;PICALM,TSS1500;TSS1500,0.113,0.103,0.003
cg01132484,3,176916496,TBL1XR1,TSS1500,0.178,0.192,0.011
cg01145394,13,34492460,RFC3,Body,0.094,0.078,0.004
cg01156249,16,4714794,MGRN1;MGRN1;MGRN1;MGRN1,Body;Body;Body;Body,0.087,0.067,0.007
cg01176363,20,62369445,LIME1,Body,0.097,0.080,0.007
cg01182683,12,52586635,KRT80;KRT80,TSS1500;TSS1500,0.114,0.120,0.004
cg01211124,13,25874859,NUPL1;NUPL1,TSS1500;TSS1500,0.094,0.084,0.009
cg01225779,5,179238472,SQSTM1;SQSTM1,5'UTR;5'UTR,0.136,0.133,0.015
cg01230890,2,183584043,DNAJC10,Body,0.102,0.089,0.008
cg01232145,3,71027078,FOXP1,Body,0.093,0.068,0.010
cg01233897,5,56060091,,,0.090,0.072,0.004
cg01234251,11,86581441,,,0.087,0.079,0.004
cg01250845,11,82708076,RAB30,Body,0.096,0.087,0.005
cg01265662,2,197504046,CCDC150,TSS1500,0.088,0.076,0.006
cg01280098,15,69116504,MIR548H4,Body,0.093,0.079,0.005
cg01290136,4,53792016,SCFD2,Body,0.094,0.095,0.002
cg01298758,11,11862611,USP47,TSS1500,0.117,0.118,0.004
cg01301660,5,110886711,,,0.091,0.093,0.003
cg01309328,6,32811253,PSMB8;PSMB8,Body;Body,0.093,0.085,0.004
cg01324702,5,138290007,SIL1;SIL1,Body;Body,0.108,0.101,0.004
cg01334831,13,114832833,RASA3,Body,0.096,0.090,0.005
cg01335597,19,1944192,CSNK1G2,5'UTR,0.095,0.087,0.009
cg01344162,13,111471413,,,0.090,0.077,0.005
cg01345727,13,52734018,NEK3;NEK3;NEK3;NEK3,TSS1500;TSS200;TSS200;TSS200,0.122,0.098,0.013
cg01346718,22,38713874,CSNK1E;CSNK1E,5'UTR;TSS1500,0.091,0.089,0.002
cg01351337,10,103657412,C10orf76,Body,0.124,0.115,0.008
cg01385312,7,5393918,TNRC18,Body,0.086,0.045,0.009
cg01393939,1,87803705,LMO4,Body,0.090,0.063,0.017
cg01393945,5,10457034,ROPN1L,Body,0.127,0.125,0.007
cg01396065,3,193789440,,,0.087,0.090,0.005
cg01405879,10,441309,DIP2C,Body,0.086,0.092,0.005
cg01408486,5,139027024,CXXC5,TSS1500,0.104,0.101,0.003
cg01420491,2,20834624,HS1BP3,Body,0.122,0.119,0.004
cg01421994,8,90916395,OSGIN2;OSGIN2,5'UTR;Body,0.092,0.082,0.006
cg01424889,12,58211193,AVIL,TSS1500,0.102,0.092,0.007
cg01432692,1,232674637,,,0.109,0.128,0.004
cg01436551,3,125037763,ZNF148,5'UTR,0.092,0.061,0.011
cg01439754,2,112293267,,,0.110,0.108,0.003
cg01441777,22,38714416,CSNK1E;CSNK1E,TSS1500;TSS1500,0.090,0.078,0.003
cg01446692,9,14723496,CER1,TSS1500,0.098,0.085,0.004
cg01446731,15,80770633,ARNT2,Body,0.101,0.088,0.008
cg01447350,16,70680108,IL34,TSS1500,0.090,0.088,0.004
cg01448881,1,160084263,ATP1A2,TSS1500,0.093,0.098,0.003
cg01449715,13,51491406,RNASEH2B;RNASEH2B,Body;Body,0.103,0.095,0.004
cg01464186,10,52191661,SGMS1,5'UTR,0.144,0.146,0.007
cg01468426,8,41896277,MYST3;MYST3;MYST3,Body;Body;Body,0.102,0.085,0.008
cg01481000,1,33514858,,,0.087,0.061,0.007
cg01481646,10,82217548,TSPAN14;TSPAN14,5'UTR;5'UTR,0.098,0.078,0.004
cg01487468,6,14622793,,,0.097,0.092,0.003
cg01492538,7,2774543,GNA12,Body,0.093,0.085,0.004
cg01502872,6,33173119,HSD17B8,Body,0.133,0.107,0.008
cg01512787,11,36476319,PRR5L;PRR5L;PRR5L;PRR5L,Body;Body;Body;Body,0.088,0.075,0.004
cg01513392,20,21488198,,,0.099,0.097,0.005
cg01515060,6,76319793,SENP6;SENP6,Body;Body,0.117,0.115,0.004
cg01519261,21,36421467,RUNX1;RUNX1,5'UTR;1stExon,0.098,0.095,0.002
cg01537645,1,217110605,ESRRG;ESRRG;ESRRG,5'UTR;5'UTR;5'UTR,0.095,0.086,0.005
cg01538305,14,100658948,,,0.090,0.068,0.007
cg01541178,13,95358498,,,0.102,0.092,0.005
cg01553004,14,77495672,C14orf4,TSS1500,0.103,0.109,0.005
cg01567509,1,15104223,KIAA1026;KIAA1026,Body;Body,0.091,0.092,0.005
cg01576275,22,43409880,,,0.086,0.080,0.003
cg01595951,5,54834655,,,0.095,0.078,0.006
cg01607932,3,5027597,,,0.089,0.091,0.004
cg01612883,12,125023115,,,0.116,0.112,0.003
cg01616394,12,125138263,,,0.117,0.105,0.004
cg01652514,13,114831142,RASA3,Body,0.093,0.074,0.004
cg01657995,6,31804883,C6orf48;C6orf48;SNORD52,5'UTR;5'UTR;Body,0.094,0.080,0.005
cg01659052,11,122722312,CRTAM,Body,0.094,0.088,0.002
cg01686553,12,126672876,,,0.092,0.104,0.004
cg01695279,15,83733816,BTBD1;BTBD1,Body;Body,0.119,0.115,0.006
cg01696603,6,125623444,HDDC2,TSS200,0.103,0.093,0.003
cg01698392,17,76871734,TIMP2,Body,0.089,0.072,0.004
cg01700124,3,193620954,,,0.102,0.095,0.007
cg01701649,16,48589954,N4BP1,Body,0.088,0.077,0.003
cg01702055,6,13303065,,,0.092,0.090,0.003
cg01703736,2,20649480,,,0.120,0.115,0.012
cg01704580,22,35934952,,,0.091,0.080,0.004
cg01711344,11,67770404,UNC93B1,Body,0.093,0.074,0.009
cg01716296,4,151133530,DCLK2;DCLK2,Body;Body,0.096,0.074,0.005
cg01726465,1,100827739,CDC14A;CDC14A;CDC14A,Body;Body;Body,0.107,0.101,0.004
cg01733570,7,24797656,DFNA5;DFNA5;DFNA5,TSS1500;TSS200;TSS200,0.095,0.088,0.002
cg01741688,2,109781768,SH3RF3,Body,0.100,0.105,0.003
cg01790464,14,23623935,SLC7A8;SLC7A8,Body;TSS1500,0.100,0.100,0.003
cg01796800,17,55595732,MSI2;MSI2,Body;Body,0.091,0.083,0.004
cg01799015,19,707791,PALM;PALM,TSS1500;TSS1500,0.093,0.080,0.004
cg01800253,22,22290866,PPM1F,Body,0.093,0.090,0.005
cg01808849,5,16857119,MYO10,Body,0.089,0.040,0.013
cg01808969,7,4786364,FOXK1,Body,0.096,0.086,0.004
cg01821113,2,218277531,DIRC3,Body,0.089,0.091,0.002
cg01823120,6,97752691,MIR548H3,Body,0.089,0.071,0.004
cg01823853,7,27646144,HIBADH,Body,0.089,0.089,0.004
cg01827633,2,219610103,TTLL4,Body,0.104,0.108,0.006
cg01842890,6,30292264,HCG18;HCG18,Body;Body,0.090,0.057,0.009
cg01851450,6,146864335,RAB32,TSS1500,0.086,0.090,0.005
cg01861509,10,73849626,SPOCK2;SPOCK2,TSS1500;TSS1500,0.094,0.085,0.004
cg01862311,8,26308815,,,0.102,0.095,0.005
cg01866434,5,55479377,ANKRD55,Body,0.095,0.094,0.006
cg01878019,1,200763765,CAMSAP1L1,Body,0.117,0.101,0.007
cg01881525,1,2191558,SKI,Body,0.112,0.125,0.005
cg01883155,17,74565009,ST6GALNAC2,Body,0.115,0.101,0.008
cg01883989,2,208019901,KLF7,Body,0.100,0.079,0.005
cg01890417,1,91488275,ZNF644;ZNF644;ZNF644,TSS1500;TSS1500;TSS1500,0.121,0.121,0.004
cg01893100,3,167799377,GOLIM4,Body,0.096,0.089,0.007
cg01900030,7,92412319,CDK6;CDK6,Body;Body,0.123,0.128,0.006
cg01904243,14,74251254,C14orf43,5'UTR,0.091,0.061,0.009
cg01910727,1,226842455,ITPKB,Body,0.098,0.102,0.002
cg01912455,22,24128528,SMARCB1;SMARCB1,TSS1500;TSS1500,0.118,0.119,0.005
cg01916632,6,107781506,PDSS2,TSS1500,0.086,0.062,0.005
cg01920536,3,39222754,,,0.122,0.115,0.006
cg01922645,7,74488324,WBSCR16,Body,0.092,0.101,0.004
cg01924596,5,31854504,PDZD2,Body,0.095,0.084,0.008
cg01924952,2,8627933,,,0.098,0.093,0.006
cg01940297,8,129061191,MIR1207;PVT1,TSS1500;Body,0.113,0.116,0.003
cg01942372,2,109203501,LIMS1,TSS1500,0.094,0.086,0.004
cg01944137,14,64974907,ZBTB1;ZBTB1,5'UTR;5'UTR,0.092,0.084,0.005
cg01948978,1,203712327,ATP2B4;ATP2B4,3'UTR;3'UTR,0.158,0.158,0.003
cg01956386,4,5056767,STK32B,Body,0.091,0.077,0.004
cg01957971,8,26214431,PPP2R2A,Body,0.114,0.118,0.009
cg01959716,6,167038658,RPS6KA2;RPS6KA2,Body;Body,0.086,0.081,0.005
cg01963224,14,71791671,,,0.087,0.065,0.004
cg01968525,11,46575582,AMBRA1,5'UTR,0.087,0.071,0.006
cg01971590,8,102898712,NCALD;NCALD;NCALD;NCALD;NCALD;NCALD;NCALD,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,0.093,0.073,0.005
cg01975858,12,15907517,EPS8,5'UTR,0.101,0.080,0.005
cg01981108,8,146020112,,,0.101,0.028,0.022
cg01983248,5,43482804,C5orf28,5'UTR,0.097,0.083,0.006
cg01986630,16,53946263,FTO,Body,0.089,0.068,0.005
cg01994750,11,95500778,,,0.089,0.073,0.005
cg02000032,7,130563521,MIR29B1,TSS1500,0.088,0.077,0.004
cg02002240,5,77864819,LHFPL2,5'UTR,0.096,0.086,0.008
cg02003183,14,103415882,CDC42BPB,Body,0.093,0.082,0.005
cg02013781,6,11810820,,,0.091,0.084,0.003
cg02019444,21,35016787,ITSN1;ITSN1,5'UTR;5'UTR,0.099,0.077,0.006
cg02039987,2,157291262,GPD2,TSS1500,0.108,0.093,0.004
cg02047803,5,141018369,RELL2;RELL2,Body;Body,0.091,0.087,0.002
cg02050917,1,2173571,SKI,Body,0.120,0.098,0.005
cg02053964,12,124950784,NCOR2;NCOR2,Body;Body,0.112,0.117,0.006
cg02061820,3,152046751,MBNL1;MBNL1;MBNL1;MBNL1;MBNL1;MBNL1;MBNL1,Body;Body;Body;Body;Body;Body;Body,0.129,0.106,0.007
cg02068351,6,132832336,STX7,5'UTR,0.092,0.082,0.005
cg02069619,2,11885266,LPIN1,TSS1500,0.093,0.073,0.006
cg02072495,15,60689285,ANXA2;ANXA2;ANXA2;ANXA2,5'UTR;5'UTR;Body;5'UTR,0.122,0.117,0.008
cg02075791,10,93174498,LOC100188947;HECTD2;HECTD2,Body;Body;Body,0.087,0.080,0.003
cg02077669,1,66730524,PDE4B;PDE4B;PDE4B,Body;Body;Body,0.129,0.146,0.006
cg02083836,1,87617350,LOC339524,Body,0.099,0.094,0.004
cg02085507,19,6739192,TRIP10,TSS1500,0.100,0.090,0.009
cg02086790,16,375327,AXIN1;AXIN1,Body;Body,0.088,0.081,0.003
cg02093062,10,99496557,ZFYVE27;ZFYVE27;ZFYVE27,TSS1500;TSS1500;TSS1500,0.150,0.143,0.005
cg02096552,1,223168232,DISP1,Body,0.106,0.094,0.007
cg02108620,3,42002230,ULK4,5'UTR,0.105,0.089,0.008
cg02110529,17,56769696,TEX14;RAD51C;TEX14;RAD51C,TSS1500;TSS1500;TSS1500;TSS1500,0.107,0.102,0.004
cg02111433,16,53947953,FTO,Body,0.101,0.085,0.006
cg02116283,2,111979319,,,0.092,0.097,0.004
cg02116768,17,80545322,FOXK2,Body,0.092,0.068,0.008
cg02116794,10,32341127,KIF5B,Body,0.122,0.113,0.005
cg02124746,9,91615137,S1PR3,5'UTR,0.097,0.103,0.002
cg02135122,10,76642824,MYST4,Body,0.108,0.106,0.006
cg02138953,10,75666279,,,0.089,0.099,0.003
cg02140384,1,61518897,,,0.092,0.057,0.009
cg02147208,6,21662648,,,0.090,0.067,0.011
cg02161701,15,90199179,KIF7,TSS1500,0.095,0.101,0.004
cg02165670,13,94764647,GPC6,Body,0.092,0.078,0.006
cg02175033,14,70098523,KIAA0247,5'UTR,0.102,0.104,0.005
cg02180979,10,73575440,CDH23,3'UTR,0.103,0.086,0.011
cg02192117,7,5458719,TNRC18,Body,0.094,0.082,0.004
cg02196422,2,85764282,,,0.103,0.098,0.004
cg02206807,11,3961397,STIM1,Body,0.091,0.079,0.003
cg02207155,14,80854710,,,0.097,0.090,0.004
cg02210149,6,32096599,ATF6B;ATF6B;FKBPL,TSS1500;TSS1500;Body,0.090,0.086,0.004
cg02227026,8,8173791,,,0.094,0.091,0.003
cg02227034,10,128080679,,,0.103,0.074,0.011
cg02232206,16,30788293,,,0.094,0.081,0.003
cg02232751,11,18415742,LDHA;LDHA;LDHA;LDHA;LDHA,TSS200;TSS200;TSS200;TSS200;TSS200,0.088,0.078,0.001
cg02235918,6,72043561,,,0.148,0.137,0.006
cg02272851,10,3797471,,,0.097,0.095,0.005
cg02280859,1,1711185,NADK,TSS1500,0.090,0.089,0.003
cg02283238,5,118691126,TNFAIP8;TNFAIP8,Body;TSS1500,0.099,0.092,0.004
cg02291020,10,81963408,ANXA11;ANXA11;ANXA11,5'UTR;5'UTR;5'UTR,0.134,0.133,0.006
cg02299195,11,48185069,PTPRJ,Body,0.092,0.072,0.008
cg02299497,14,69095570,,,0.130,0.109,0.012
cg02301292,16,66186364,,,0.089,0.084,0.004
cg02303067,5,36882196,NIPBL;NIPBL,5'UTR;5'UTR,0.098,0.077,0.010
cg02317299,17,1390182,MYO1C;MYO1C;MYO1C,5'UTR;Body;TSS1500,0.087,0.080,0.005
cg02318535,17,56832804,PPM1E,TSS1500,0.111,0.107,0.002
